main1.png, 1, 1, 80, 80, 0, 0, 0, 0
main2.png, 1, 83, 80, 80, 0, 0, 0, 0
menu.png, 83, 1, 98, 101, 0, 0, 0, 0
restart.png, 83, 104, 98, 101, 0, 0, 0, 0
resume.png, 1, 207, 360, 92, 0, 0, 0, 0
touch0.png, 183, 1, 80, 80, 0, 0, 0, 0
touch0a.png, 265, 1, 80, 80, 0, 0, 0, 0
touch1.png, 347, 1, 80, 80, 0, 0, 0, 0
touch1a.png, 183, 83, 80, 80, 0, 0, 0, 0
touch2.png, 265, 83, 80, 80, 0, 0, 0, 0
touch3.png, 347, 83, 80, 80, 0, 0, 0, 0
touch4.png, 363, 165, 80, 80, 0, 0, 0, 0
touch5.png, 429, 1, 80, 80, 0, 0, 0, 0
touch6.png, 429, 83, 80, 80, 0, 0, 0, 0
touched1.png, 363, 247, 80, 80, 0, 0, 0, 0
touched2.png, 1, 301, 80, 80, 0, 0, 0, 0
touched3.png, 83, 301, 80, 80, 0, 0, 0, 0
touched4.png, 165, 301, 80, 80, 0, 0, 0, 0
touched5.png, 247, 301, 80, 80, 0, 0, 0, 0
touched6.png, 329, 329, 80, 80, 0, 0, 0, 0
touched7.png, 411, 329, 80, 80, 0, 0, 0, 0
touched8.png, 1, 383, 80, 80, 0, 0, 0, 0
touched9.png, 83, 383, 80, 80, 0, 0, 0, 0
touched10.png, 165, 383, 80, 80, 0, 0, 0, 0
touched11.png, 247, 383, 80, 80, 0, 0, 0, 0
touched12.png, 329, 411, 80, 80, 0, 0, 0, 0
